display name,Affy ID,HR（内分泌療法〇）,HR（内分泌療法×）,ーlogP(内分泌療法×),LOGHRincludevalue,LOGHRexcludevalue,deltaHR,shape,logrank（〇）,logrank(×),下限信頼区間(内分泌療法あり),上限信頼区間(内分泌療法あり),標準誤差（内分泌療法〇）,下限信頼区間(内分泌療法なし),上限信頼区間(内分泌療法なし),標準誤差（内分泌療法×）,Z,|Z|,P
CLIP1,201975_at,1.65,1.25,0.638272164,0.217483944,0.096910013,0.120573931,1,0.034,2.30E-01,1.03,2.64,0.10427722,0.87,1.79,0.079932086,0.917691761,0.917691761,0.358780262
CUL1,207614_s_at,0.59,0.71,1.075720714,-0.229147988,-0.148741651,-0.080406337,1,0.033,8.40E-02,0.36,0.96,0.108665493,0.48,1.05,0.086721444,-0.578346154,0.578346154,0.56303044
CUL2,203078_at,0.78,1.33,1.031517051,-0.107905397,0.123851641,-0.231757038,0,0.3,9.30E-02,0.48,1.25,0.106037953,0.95,1.86,0.074436056,-1.788855188,1.788855188,0.07363814
CUL3,201372_s_at,1.38,0.75,1,0.139879086,-0.124938737,0.264817823,0,0.18,1.00E-01,0.86,2.24,0.106058563,0.53,1.06,0.076793366,2.022415393,2.022415393,0.043133456
CUL4A,201424_s_at,0.61,0.64,2.080921908,-0.214670165,-0.193820026,-0.020850139,1,0.088,8.30E-03,0.35,1.08,0.124835641,0.46,0.89,0.073120453,-0.144118177,0.144118177,0.885407151
CUL5,203531_at,0.41,0.74,1.142667504,-0.387216143,-0.13076828,-0.256447863,1,0.0026,7.20E-02,0.22,0.75,0.135877189,0.53,1.03,0.073612591,-1.65946835,1.65946835,0.097021453
DBF4,204244_s_at,0.67,2.03,4.795880017,-0.173925197,0.307496038,-0.481421235,1,0.089,1.60E-05,0.42,1.07,0.103605737,1.46,2.81,0.072539149,-3.806435742,3.806435742,0.000140984
DCTN2,200932_s_at,2,1.27,0.619788758,0.301029996,0.103803721,0.197226275,1,0.0042,2.40E-01,1.23,3.24,0.107306097,0.85,1.89,0.088531347,1.417742575,1.417742575,0.156265935
DCTN3,204246_s_at,2.38,0.8,0.721246399,0.376576957,-0.096910013,0.47348697,1,0.00071,1.90E-01,1.42,3.99,0.114460345,0.57,1.12,0.074832441,3.462381081,3.462381081,0.000535418
DDX11,213378_s_at,2.22,0.72,1.229147988,0.346352974,-0.142667504,0.489020478,1,0.0041,5.90E-02,1.27,3.87,0.123445726,0.51,1.01,0.075701836,3.377005872,3.377005872,0.000732795
DLGAP5,203764_at,1.62,3.4,7.167491087,0.209515015,0.531478917,-0.321963902,2,0.042,6.80E-08,1.01,2.58,0.103902636,2.12,5.45,0.104607306,-2.183699791,2.183699791,0.028984315
DMC1,208382_s_at,2.98,0.78,0.853871964,0.474216264,-0.107905397,0.582121661,1,0.004,1.40E-01,1.36,6.5,0.173309808,0.56,1.08,0.072764216,3.09696489,3.09696489,0.00195513
DUSP13,219963_at,2.13,0.72,1.017728767,0.328379603,-0.142667504,0.471047107,1,0.031,9.60E-02,1.06,4.28,0.154627016,0.49,1.06,0.08548719,2.666028373,2.666028373,0.007675321
E2F1,204947_at,1.78,2.11,4.537602002,0.250420002,0.324282455,-0.073862453,2,0.014,2.90E-05,1.12,2.85,0.103476234,1.48,3.02,0.07901664,-0.567318012,0.567318012,0.570498142
EGF,206254_at,0.5,0.81,0.585026652,-0.301029996,-0.091514981,-0.209515015,1,0.027,2.60E-01,0.27,0.94,0.138205125,0.55,1.17,0.08362836,-1.297005547,1.297005547,0.194629278
EREG,205767_at,0.61,0.83,0.568636236,-0.214670165,-0.080921908,-0.133748257,0,0.055,2.70E-01,0.36,1.02,0.115382059,0.59,1.16,0.074899484,-0.972285224,0.972285224,0.330908673
ESPL1,38158_at,1.98,2.1,3.585026652,0.29666519,0.322219295,-0.025554104,2,0.02,2.60E-04,1.1,3.55,0.129805017,1.4,3.16,0.090193634,-0.161669332,0.161669332,0.871566256
FOXO4,205451_at,1.47,1.23,0.638272164,0.167317335,0.089905111,0.077412223,0,0.1,2.30E-01,0.92,2.35,0.103897968,0.88,1.73,0.07488863,0.60443088,0.60443088,0.54555721
GFI1,206589_at,0.58,1.23,0.585026652,-0.236572006,0.089905111,-0.326477118,0,0.086,2.60E-01,0.31,1.09,0.139302246,0.86,1.77,0.079968065,-2.032557473,2.032557473,0.042097252
GML,208000_at,1.38,0.8,0.585026652,0.139879086,-0.096910013,0.236789099,0,0.21,2.60E-01,0.84,2.26,0.109650294,0.54,1.18,0.086604145,1.69466265,1.69466265,0.090139435
HSPA2,211538_s_at,0.76,0.6,2.638272164,-0.119186408,-0.22184875,0.102662342,1,0.24,2.30E-03,0.47,1.21,0.104767223,0.43,0.84,0.074186436,0.799714962,0.799714962,0.423875962
INHBA,204926_at,1.42,1.45,1.207608311,0.152288344,0.161368002,-0.009079658,0,0.16,6.20E-02,0.87,2.31,0.10818692,0.98,2.15,0.087043976,-0.065388894,0.065388894,0.947864366
KATNA1, 205526_s_at,0.85,0.78,0.769551079,-0.070581074,-0.107905397,0.037324323,0,0.52,1.70E-01,0.52,1.39,0.108931494,0.55,1.11,0.077795992,0.278832696,0.278832696,0.780373221
KHDRBS1,200040_at,0.75,1.35,1.013228266,-0.124938737,0.130333768,-0.255272505,0,0.23,9.70E-02,0.46,1.21,0.107149882,0.95,1.91,0.077374939,-1.931446647,1.931446647,0.053427841
